,クレジット残高,ローン期間,前回のローンの状態,ローン金額,貯金・株残高,雇用期間（ただいまの仕事）,最も価値のあるアセット,信用(Y)
769,1,3,1,3,4,2,3,1
770,1,4,1,4,1,1,3,1
771,1,2,1,3,1,1,4,1
772,1,3,1,3,1,2,1,1
773,1,6,1,7,1,3,3,1
774,1,6,2,4,1,3,3,1
775,1,6,1,4,1,1,3,1
776,2,3,2,5,1,4,4,1
777,1,1,2,5,1,2,1,1
778,2,3,2,3,1,2,3,1
779,3,3,1,5,2,2,2,1
780,2,5,2,7,1,3,2,1
781,1,4,2,3,1,1,1,1
782,2,6,1,8,1,4,4,1
783,2,1,0,1,3,1,2,1
784,1,2,0,4,1,2,4,1
785,3,4,1,4,3,4,3,1
786,2,1,0,2,2,1,2,1
787,2,3,2,4,3,2,2,1
788,2,4,0,5,1,2,1,1
789,2,4,2,5,1,1,3,1
790,2,3,0,4,1,1,1,1
791,3,3,1,4,1,1,1,1
792,1,4,0,6,1,1,2,1
793,1,2,1,2,1,1,2,1
794,3,5,2,4,1,4,1,1
795,2,6,0,4,1,4,4,1
796,3,3,1,5,1,2,1,1
797,3,4,2,4,1,1,3,1
798,1,4,1,2,4,4,3,1
799,3,4,1,2,1,3,4,1
800,1,4,1,3,4,2,2,1
801,1,4,1,3,4,3,4,1
802,1,4,1,3,4,2,1,1
803,2,3,1,3,4,2,2,1
804,1,2,1,2,4,2,3,1
805,1,4,1,3,1,1,2,1
806,2,3,0,4,2,1,3,1
807,1,10,2,6,1,4,4,1
808,1,4,1,5,1,4,2,1
809,1,1,0,3,1,4,4,1
810,2,8,1,9,1,2,3,1
811,1,10,1,6,1,4,4,1
812,3,3,1,4,1,1,1,1
813,1,3,1,5,1,2,1,1
814,2,2,0,6,1,4,4,1
815,3,3,2,4,1,3,1,1
816,3,2,1,3,2,4,4,1
817,1,2,1,2,1,3,1,1
818,2,2,1,3,1,2,1,1
819,3,2,1,4,1,1,3,1
820,2,8,1,8,3,3,4,1
821,1,6,2,6,1,2,2,1
822,1,4,1,4,1,1,2,1
823,1,4,1,4,1,2,1,1
824,1,4,2,4,1,1,3,1
825,2,1,2,3,1,1,2,1
826,2,8,0,5,2,3,4,1
827,1,2,2,5,1,4,2,1
828,2,2,1,2,1,2,3,1
829,2,8,1,6,1,2,1,1
830,2,6,0,5,1,2,3,1
831,3,6,2,5,1,2,3,1
832,3,6,2,7,4,1,3,1
833,3,6,1,5,1,2,3,1
834,3,1,1,5,1,1,2,1
835,2,4,1,8,1,2,3,1
836,3,3,0,5,1,2,3,1
837,2,4,1,5,1,3,3,1
838,3,3,0,6,1,4,4,1
839,3,2,1,3,3,2,2,1
840,1,6,1,4,4,4,4,1
841,2,3,2,4,1,1,1,1
842,3,2,1,3,3,2,3,1
843,2,4,1,8,1,2,3,1
844,2,4,2,8,1,2,3,1
845,2,5,2,5,3,2,2,1
846,2,5,2,4,2,1,4,1
847,2,10,0,8,2,4,4,1
848,2,6,1,5,2,2,4,1
849,2,6,1,8,2,2,4,1
850,2,8,1,5,2,2,2,1
851,1,2,0,2,1,2,1,1
852,2,4,2,4,1,4,1,1
853,3,4,2,3,4,3,1,1
854,3,3,1,4,1,1,2,1
855,1,8,1,5,1,3,4,1
856,1,4,0,5,3,1,4,1
857,1,6,1,4,1,2,3,1
858,1,7,1,5,1,1,3,1
859,1,2,1,2,2,1,4,1
860,3,8,1,5,4,2,1,1
861,1,8,1,5,1,1,2,1
862,2,2,1,4,1,1,1,1
863,3,3,2,5,1,3,2,1
864,1,7,2,6,1,2,4,1
865,3,3,2,3,4,2,4,1
866,2,2,1,3,1,1,3,1
867,2,6,1,7,1,1,3,1
868,2,2,1,2,2,1,3,1
869,2,4,1,3,1,1,3,1
870,1,8,1,5,1,2,3,1
871,3,6,2,7,1,2,1,1
872,3,3,1,1,1,1,1,1
873,3,6,2,7,1,1,3,1
874,2,4,0,4,1,3,4,1
875,2,5,2,5,1,1,3,1
876,2,5,2,6,1,1,3,1
877,1,8,1,6,1,2,3,1
878,1,2,1,3,1,1,2,1
879,1,4,0,3,4,4,3,1
880,1,3,1,4,1,1,3,1
881,3,2,0,3,1,1,3,1
882,1,8,1,7,1,4,4,1
883,2,3,0,3,2,2,2,1
884,2,3,1,5,2,2,3,1
885,2,8,1,6,2,3,2,1
886,1,4,1,5,1,1,2,1
887,1,6,2,7,1,2,4,1
888,1,4,1,4,1,1,1,1
889,2,6,1,7,2,1,4,1
890,2,10,1,8,1,3,4,1
891,1,6,2,7,1,3,3,1
892,2,2,1,3,4,2,1,1
893,1,3,1,3,1,1,3,1
894,2,4,2,4,1,1,2,1
895,2,3,1,8,1,1,4,1
896,3,4,2,5,3,1,1,1
897,3,5,1,5,1,2,1,1
898,2,5,1,5,1,2,3,1
899,3,2,1,3,4,2,2,1
900,1,4,1,5,1,3,2,1
901,1,2,1,5,1,1,1,1
902,2,6,2,4,1,4,4,1
903,1,3,1,5,1,2,3,1
904,1,3,0,5,1,1,2,1
905,1,3,2,4,1,2,1,1
906,1,3,0,4,1,2,3,1
907,1,5,1,4,1,3,1,1
908,1,4,2,3,1,1,1,1
909,1,8,0,6,1,2,4,1
910,1,4,2,5,1,2,4,1
911,1,2,2,2,1,4,2,1
912,1,7,2,5,1,3,2,1
913,1,6,0,5,1,4,3,1
914,1,4,0,5,1,4,4,1
915,1,3,1,4,1,2,3,1
916,1,2,1,3,1,2,3,1
917,2,2,0,5,1,1,2,1
918,1,8,0,5,1,4,4,1
919,1,8,2,6,1,4,4,1
920,1,4,0,5,1,3,3,1
921,1,2,0,2,1,1,3,1
922,1,4,1,3,1,3,3,1
923,1,5,0,6,1,1,2,1
924,1,4,2,5,1,1,2,1
925,1,3,1,4,1,2,1,1
926,1,4,0,5,1,2,2,1
927,1,2,1,2,1,3,2,1
928,1,8,1,8,1,3,4,1
929,2,8,0,8,1,2,3,1
930,2,3,2,3,1,4,1,1
931,1,2,1,3,1,1,1,1
932,2,2,1,3,1,4,1,1
933,1,2,1,3,1,3,3,1
934,1,3,2,5,1,4,2,1
935,1,4,2,4,1,2,2,1
936,2,2,1,2,1,2,3,1
937,2,3,2,2,1,4,3,1
938,2,4,1,3,1,1,1,1
939,2,6,2,7,2,4,3,1
940,3,8,2,8,3,2,4,1
941,2,2,1,2,1,4,3,1
942,3,2,1,2,1,4,3,1
943,2,6,1,8,4,2,4,1
944,1,2,1,2,1,4,1,1
945,2,3,0,6,2,1,2,1
946,3,2,1,4,1,2,1,1
947,3,5,0,6,4,1,1,1
948,1,3,0,3,1,3,4,1
949,3,2,2,2,4,4,2,1
950,2,8,2,5,1,1,2,1
951,3,2,2,2,3,3,1,1
952,2,4,1,3,1,4,2,1
953,3,8,2,8,2,2,3,1
954,3,2,0,2,1,1,1,1
955,1,3,2,3,1,1,4,1
956,2,4,1,5,2,4,3,1
957,2,5,1,5,2,2,3,1
958,2,5,0,5,2,2,3,1
959,2,4,1,5,2,1,3,1
960,3,3,1,6,4,2,3,1
961,2,2,1,3,1,1,3,1
962,2,9,0,9,1,1,4,1
963,1,4,1,5,1,1,1,1
964,2,3,1,2,1,4,3,1
965,2,8,1,7,1,1,3,1
966,3,4,2,7,1,1,3,1
967,1,3,1,3,1,2,1,1
968,1,8,1,4,1,2,4,1
969,1,4,0,4,4,2,2,1
970,3,8,1,5,1,1,3,1
971,2,5,0,7,1,4,4,1
972,3,3,1,4,1,2,1,1
973,1,8,0,8,1,4,3,1
974,1,1,1,1,1,1,2,1
975,1,5,1,8,1,1,4,1
976,2,8,0,9,1,2,2,1
977,1,1,1,8,1,4,4,1
978,2,2,1,5,4,4,2,1
979,1,2,1,5,1,4,4,1
980,2,4,1,4,1,1,2,1
981,3,3,2,4,1,2,3,1
982,2,8,2,6,1,2,3,1
983,1,3,1,4,1,2,3,1
984,1,8,1,6,1,3,1,1
985,3,2,2,4,1,1,3,1
986,1,3,1,7,1,4,2,1
987,1,2,1,2,2,3,2,1
988,1,3,1,2,1,1,3,1
989,2,4,1,5,1,2,2,1
990,1,3,1,2,1,1,1,1
991,2,4,1,8,1,4,4,1
992,1,3,1,7,4,4,2,1
993,1,3,2,5,1,4,1,1
994,1,2,0,6,1,2,2,1
995,1,4,1,4,1,2,1,1
996,1,4,1,4,1,4,1,1
997,3,4,2,8,4,4,4,1
998,2,2,1,6,4,1,4,1
999,1,5,1,6,4,4,2,1
